Article Name,Link,DOI Number,Country,Year,Journal Name,Abstract,Keywords,Article Type
Artificial intelligence and telemedicine in anesthesia: potential and problems,https://pubmed.ncbi.nlm.nih.gov/35164492/,10.23736/S0375-9393.21.16241-8," Parma, Italy.",2022,Minerva Anestesiol,"The application of novel technologies like artificial intelligence (AI), machine learning (ML) and telemedicine in anesthesiology could play a role in transforming the future of health care. In the present review we discuss the current applications of AI and telemedicine in anesthesiology and perioperative care, exploring their potential influence and the possible hurdles. AI technologies have the potential to deeply impact all phases of perioperative care from accurate risk prediction to operating room organization, leading to increased cost-effective care quality and better outcomes. Telemedicine is reported as a successful mean within the anesthetic pathway, including preoperative evaluation, remote patient monitoring, and postoperative care. The utilization of AI and telemedicine is promising encouraging results in perioperative management, nevertheless several hurdles remain to be overcome before these tools could be integrated in our daily practice. AI models and telemedicine can significantly influence all phases of perioperative care, helping physicians in the development of precision medicine.","Review, Research Support, Non-U.S. Gov't, Anesthesia*, Anesthesiology*, Artificial Intelligence, Humans, Machine Learning, Telemedicine*",Review
[Machine learning in anesthesiology],https://pubmed.ncbi.nlm.nih.gov/32318789/,10.1007/s00101-020-00764-z," Hamburg, Deutschland.",2020,Anaesthesist,"The application of artificial intelligence (AI) is currently changing very different areas of life. Artificial intelligence involves the emulation of human behavior with the aid of methods from mathematics and informatics. Machine learning (ML) represents a subdivision of AI. Algorithms for ML have the potential to optimize patient care, in that they can be utilized in a supportive way in personalized medicine, decision making and risk prediction. Although the majority of the applications in medicine are still limited to data analysis and research, it is certain that ML will become increasingly more important in scientific and clinical aspects in this supportive function. Therefore, it is necessary for clinicians to have at least a basic understanding of the functional principles, strengths and weaknesses of ML.","Review, Algorithms, Anesthesiology*, Artificial Intelligence*, Humans, Machine Learning*, Neural Networks, Computer, Precision Medicine",Review
"Machine Learning, Deep Learning, and Closed Loop Devices-Anesthesia Delivery",https://pubmed.ncbi.nlm.nih.gov/34392886/,10.1016/j.anclin.2021.03.012,N/A,2021,Anesthesiol Clin,"With the tremendous volume of data captured during surgeries and procedures, critical care, and pain management, the field of anesthesiology is uniquely suited for the application of machine learning, neural networks, and closed loop technologies. In the past several years, this area has expanded immensely in both interest and clinical applications. This article provides an overview of the basic tenets of machine learning, neural networks, and closed loop devices, with emphasis on the clinical applications of these technologies.","Review, Anesthesia*, Anesthesiology*, Artificial Intelligence, Deep Learning*, Humans, Machine Learning",Review
"Artificial intelligence, machine learning and the pediatric airway",https://pubmed.ncbi.nlm.nih.gov/31845543/,10.1111/pan.13792," ON, Canada.",2020,Paediatr Anaesth,"Artificial intelligence and machine learning are rapidly expanding fields with increasing relevance in anesthesia and, in particular, airway management. The ability of artificial intelligence and machine learning algorithms to recognize patterns from large volumes of complex data makes them attractive for use in pediatric anesthesia airway management. The purpose of this review is to introduce artificial intelligence, machine learning, and deep learning to the pediatric anesthesiologist. Current evidence and developments in artificial intelligence, machine learning, and deep learning relevant to pediatric airway management are presented. We critically assess the current evidence on the use of artificial intelligence and machine learning in the assessment, diagnosis, monitoring, procedure assistance, and predicting outcomes during pediatric airway management. Further, we discuss the limitations of these technologies and offer areas for focused research that may bring pediatric airway management anesthesiology into the era of artificial intelligence and machine learning.","Review, Airway Management / methods*, Artificial Intelligence*, Child, Humans, Intraoperative Complications / diagnosis*, Machine Learning, Postoperative Complications / diagnosis*, Respiration Disorders / diagnosis*",Review
Data science and machine learning in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/32209960/,10.4097/kja.20124," Seoul, Korea.",2020,Korean J Anesthesiol,"Machine learning (ML) is revolutionizing anesthesiology research. Unlike classical research methods that are largely inference-based, ML is geared more towards making accurate predictions. ML is a field of artificial intelligence concerned with developing algorithms and models to perform prediction tasks in the absence of explicit instructions. Most ML applications, despite being highly variable in the topics that they deal with, generally follow a common workflow. For classification tasks, a researcher typically tests various ML models and compares the predictive performance with the reference logistic regression model. The main advantage of ML lies in its ability to deal with many features with complex interactions and its specific focus on maximizing predictive performance. However, emphasis on data-driven prediction can sometimes neglect mechanistic understanding. This article mainly focuses on the application of supervised ML to electronic health record (EHR) data. The main limitation of EHR-based studies is in the difficulty of establishing causal relationships. However, the associated low cost and rich information content provide great potential to uncover hitherto unknown correlations. In this review, the basic concepts of ML are introduced along with important terms that any ML researcher should know. Practical tips regarding the choice of software and computing devices are also provided. Towards the end, several examples of successful ML applications in anesthesiology are discussed. The goal of this article is to provide a basic roadmap to novice ML researchers working in the field of anesthesiology.","Anesthesiology / statistics & numerical data*, Blood Glucose / metabolism, Data Interpretation, Statistical*, Data Science / methods, Data Science / statistics & numerical data*, Databases, Factual / statistics & numerical data*, Diabetes Mellitus / blood, Diabetes Mellitus / diagnosis, Electronic Health Records / statistics & numerical data*, Humans, Machine Learning / statistics & numerical data*, Blood Glucose",N/A
Machine learning: the next frontier in obstetric anesthesiology?,https://pubmed.ncbi.nlm.nih.gov/33129657/,10.1016/j.ijoa.2020.09.002," CA, USA. Electronic address: ajbut@stanford.edu.",2021,Int J Obstet Anesth,N/A,"Editorial, Comment, Anesthesiology*, Female, Humans, Machine Learning, Pregnancy",Editorial
Introduction to The Spine Journal special issue on artificial intelligence and machine learning,https://pubmed.ncbi.nlm.nih.gov/33785475/,10.1016/j.spinee.2021.03.028," MA, USA. Electronic address: akarhade@partners.org.",2021,Spine J,"In the last 5 years, artificial intelligence (AI) algorithms have made rapid advances for diagnosis and prognosis in fields ranging from dermatology to anesthesiology. How do we make sense of the rise of AI in healthcare and specifically in spine? How much of what we see today is ""hype"" and what will remain when the dust settles? In this special issue, several reviews and original articles help us understand the state of AI in healthcare today, the avenues for future progress, and the implications for spine care. Continued engagement, skepticism, and collaboration with technical experts will allow for the development of AI systems that complement and expand our abilities to diagnose, predict, and operate.","Introductory Journal Article, Algorithms, Artificial Intelligence*, Delivery of Health Care, Humans, Machine Learning*, Prognosis",N/A
Trends in anesthesiology research: a machine learning approach to theme discovery and summarization,https://pubmed.ncbi.nlm.nih.gov/30474079/,10.1093/jamiaopen/ooy009," New York, USA.",2018,JAMIA Open,"Objectives:
        
      
      Traditionally, summarization of research themes and trends within a given discipline was accomplished by manual review of scientific works in the field. However, with the ushering in of the age of ""big data,"" new methods for discovery of such information become necessary as traditional techniques become increasingly difficult to apply due to the exponential growth of document repositories. Our objectives are to develop a pipeline for unsupervised theme extraction and summarization of thematic trends in document repositories, and to test it by applying it to a specific domain.",,N/A
Machine learning in anesthesiology: Detecting adverse events in clinical practice,https://pubmed.ncbi.nlm.nih.gov/35801667/,10.1177/14604582221112855," Groningen, The Netherlands.",2022,Health Informatics J,"The credibility of threshold-based alarms in anesthesia monitors is low and most of the warnings they produce are not informative. This study aims to show that Machine Learning techniques have a potential to generate meaningful alarms during general anesthesia without putting constraints on the type of procedure. Two distinct approaches were tested - Complication Detection and Anomaly Detection. The former is a generic supervised learning problem and for this a simple feed-forward Neural Network performed best. For the latter, we used an Encoder-Decoder Long Short-Term Memory architecture that does not require a large manually-labeled dataset. We show this approach to be more flexible and in the spirit of Explainable Artificial Intelligence, offering greater potential for future improvement.","Anesthesiology* / methods, Artificial Intelligence*, Humans, Machine Learning, Neural Networks, Computer",N/A
Development and validation of a machine-learning model for prediction of hypoxemia after extubation in intensive care units,https://pubmed.ncbi.nlm.nih.gov/35722375/,10.21037/atm-22-2118," Shanghai, China.",2022,Ann Transl Med,"Background:
        
      
      Extubation is the process of removing tracheal tubes so that patients maintain oxygenation while they start to breathe spontaneously. However, hypoxemia after extubation is an important issue for critical care doctors and is associated with patients' oxygenation, circulation, recovery, and incidence of postoperative complications. Accuracy and specificity of most related conventional models remain unsatisfactory. We conducted a predictive analysis based on a supervised machine-learning algorithm for the precise prediction of hypoxemia after extubation in intensive care units (ICUs).",,N/A
A descriptive appraisal of quality of reporting in a cohort of machine learning studies in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/35811037/,10.1016/j.accpm.2022.101126,N/A,2022,Anaesth Crit Care Pain Med,"Background:
        
      
      The field of machine learning is being employed more and more in medicine. However, studies have shown that the quality of published studies frequently lacks completeness and adherence to published reporting guidelines. This assessment has not been done in the subspecialty of anesthesiology.","Anesthesiology* / methods, Cohort Studies, Humans, Machine Learning, Research Design",N/A
Artificial intelligence and anesthesia: a narrative review,https://pubmed.ncbi.nlm.nih.gov/35928743/,10.21037/atm-21-7031," Parma, Italy.",2022,Ann Transl Med,"Background and objective:
        
      
      The aim of this narrative review is to analyze whether or not artificial intelligence (AI) and its subsets are implemented in current clinical anesthetic practice, and to describe the current state of the research in the field. AI is a general term which refers to all the techniques that enable computers to mimic human intelligence. AI is based on algorithms that gives machines the ability to reason and perform functions such as problem-solving, object and word recognition, inference of world states, and decision-making. It includes machine learning (ML) and deep learning (DL).",Review,Review
Robust prediction of nonhome discharge following elective anterior cervical discectomy and fusion using explainable machine learning,https://pubmed.ncbi.nlm.nih.gov/36854862/,10.1007/s00586-023-07621-8," New York, United States of America.",2023,Eur Spine J,"Purpose:
        
      
      Predict nonhome discharge (NHD) following elective anterior cervical discectomy and fusion (ACDF) using an explainable machine learning model.","Aged, Diskectomy / methods, Female, Humans, Machine Learning, Medicare, Patient Discharge*, Retrospective Studies, Spinal Fusion* / methods, United States",N/A
Artificial Intelligence in Echocardiography for Anesthesiologists,https://pubmed.ncbi.nlm.nih.gov/32962932/,10.1053/j.jvca.2020.08.048," Shanghai, China.",2021,J Cardiothorac Vasc Anesth,"Echocardiography is a unique diagnostic tool for intraoperative monitoring and assessment of patients with cardiovascular diseases. However, there are high levels of interoperator variations in echocardiography interpretations that could lead to inaccurate diagnosis and incorrect treatment. Furthermore, anesthesiologists are faced with the additional challenge to interpret echocardiography and make decisions in a limited timeframe from these complex data. The need for an automated, less operator-dependent process that enhances speed and accuracy of echocardiography analysis is crucial for anesthesiologists. Artificial intelligence is playing an increasingly important role in the medical field and could help anesthesiologists analyze complex echocardiographic data while adding increased accuracy and consistency to interpretation. This review aims to summarize practical use of artificial intelligence in echocardiography and discusses potential limitations and challenges in the future for anesthesiologists.","Review, Anesthesiologists, Artificial Intelligence*, Cardiovascular Diseases*, Echocardiography, Humans, Monitoring, Intraoperative",Review
[On the future of machine learning in anesthesiology],https://pubmed.ncbi.nlm.nih.gov/32761520/,10.1007/s00101-020-00821-7," München, Deutschland. ludwig.hinske@med.uni-muenchen.de.",2020,Anaesthesist,N/A,"Editorial, Anesthesiology*, Humans, Internship and Residency, Machine Learning / trends*",Editorial
The present and future role of artificial intelligence and machine learning in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/32841964/,10.1097/AIA.0000000000000294," Dallas, Texas.",2020,Int Anesthesiol Clin,N/A,"Anesthesiology*, Artificial Intelligence*, Humans, Machine Learning",N/A
"Anesthesiology, automation, and artificial intelligence",https://pubmed.ncbi.nlm.nih.gov/29686578/,10.1080/08998280.2017.1391036," Dallas, Texas.",2017,Proc (Bayl Univ Med Cent),"There have been many attempts to incorporate automation into the practice of anesthesiology, though none have been successful. Fundamentally, these failures are due to the underlying complexity of anesthesia practice and the inability of rule-based feedback loops to fully master it. Recent innovations in artificial intelligence, especially machine learning, may usher in a new era of automation across many industries, including anesthesiology. It would be wise to consider the implications of such potential changes before they have been fully realized.",,N/A
[Application of Machine Learning Algorithm in Anesthesia],https://pubmed.ncbi.nlm.nih.gov/33131527/,10.3881/j.issn.1000-503X.12356,N/A,2020,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,"The application of artificial intelligence in medical field is promoting medical innovations.Specifically,machine learning algorithm promotes the development of anesthesiology.This review elucidates the basic concept,research advances,application,and limitations of machine learning algorithm in anesthesiology.","Review, Algorithms*, Anesthesia, Anesthesiology* / methods, Anesthesiology* / trends, Humans, Machine Learning*",Review
Assessing the Utility of a Machine-Learning Model to Assist With the Assignment of the American Society of Anesthesiology Physical Status Classification in Pediatric Patients,https://pubmed.ncbi.nlm.nih.gov/38088804/,10.1213/ANE.0000000000006761," and Pain Medicine, Boston Children's Hospital.",2023,Anesth Analg,"Background:
        
      
      The American Society of Anesthesiologists Physical Status Classification System (ASA-PS) is used to classify patients' health before delivering an anesthetic. Assigning an ASA-PS Classification score to pediatric patients can be challenging due to the vast array of chronic conditions present in the pediatric population. The specific aims of this study were to (1) suggest an ASA-PS score for pediatric patients undergoing elective surgical procedures using machine-learning (ML) methods; and (2) assess the impact of presenting the suggested ASA-PS score to clinicians when making their final ASA-PS assignment. The intent was not to create a new ASA-PS score but to use ML methods to generate a suggested score, along with information on how the score was generated (ie, historical information on patient comorbidities) to assist clinicians when assigning their final ASA-PS score.",,N/A
User-Centered Design of a Machine Learning Dashboard for Prediction of Postoperative Complications,https://pubmed.ncbi.nlm.nih.gov/37339083/,10.1213/ANE.0000000000006577,N/A,2023,Anesth Analg,"Background:
        
      
      Machine learning models can help anesthesiology clinicians assess patients and make clinical and operational decisions, but well-designed human-computer interfaces are necessary for machine learning model predictions to result in clinician actions that help patients. Therefore, the goal of this study was to apply a user-centered design framework to create a user interface for displaying machine learning model predictions of postoperative complications to anesthesiology clinicians.",,N/A
Machine learning methods for perioperative anesthetic management in cardiac surgery patients: a scoping review,https://pubmed.ncbi.nlm.nih.gov/35070381/,10.21037/jtd-21-765," Amsterdam, The Netherlands.",2021,J Thorac Dis,"Background:
        
      
      Machine learning (ML) is developing fast with promising prospects within medicine and already has several applications in perioperative care. We conducted a scoping review to examine the extent and potential limitations of ML implementation in perioperative anesthetic care, specifically in cardiac surgery patients.",Review,Review
How anesthesiology can deal with innovation and new technologies?,https://pubmed.ncbi.nlm.nih.gov/37526467/,10.23736/S0375-9393.23.17464-5," Paris, France - olivier.langeron@aphp.fr.",2023,Minerva Anestesiol,"Innovation and new technologies have always impacted significantly the anesthesiology practice all along the perioperative course, as it is recognized as one of the most transformative medical specialties specifically regarding patient's safety. Beside a number of major changes in procedures, equipment, training, and organization that aggregated to establish a strong safety culture with effective practices, anesthesiology is also a stakeholder in disruptive innovation. The present review is not exhaustive and aims to provide an overview on how innovation could change and improve anesthesiology practices through some examples as telemedicine (TM), machine learning and artificial intelligence (AI). For example, postoperative complications can be accurately predicted by AI from automated real-time electronic health record data, matching physicians' predictive accuracy. Clinical workflow could be facilitated and accelerated with mobile devices and applications, assuming that these tools should remain at the service of patients and care providers. Care providers and patients connections have improved, thanks to these digital and innovative transformations, without replacing existing relationships between them. It also should give time back to physicians and nurses to better spend it in the perioperative care, and to provide ""personalized"" medicine keeping a high level of standard of care.",,N/A
Predicting futility of upfront surgery in perihilar cholangiocarcinoma: Machine learning analytics model to optimize treatment allocation,https://pubmed.ncbi.nlm.nih.gov/37530544/,10.1097/HEP.0000000000000554," Milano, Italy.",2023,Hepatology,"Background:
        
      
      While resection remains the only curative option for perihilar cholangiocarcinoma, it is well known that such surgery is associated with a high risk of morbidity and mortality. Nevertheless, beyond facing life-threatening complications, patients may also develop early disease recurrence, defining a ""futile"" outcome in perihilar cholangiocarcinoma surgery. The aim of this study is to predict the high-risk category (futile group) where surgical benefits are reversed and alternative treatments may be considered.",,N/A
The Future Directions of Research in Cardiac Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/34106839/,10.1016/j.aan.2020.09.003,N/A,2020,Adv Anesth,"This article provides an overview of knowledge gaps that need to be addressed in cardiac anesthesia, including mitigating the inflammatory effects of cardiopulmonary bypass, defining myocardial infarction after cardiac surgery, improving perioperative neurologic outcomes, and the optimal management of patients undergoing valve replacement. In addition, emerging approaches to research conduct are discussed, including the use of new analytical techniques like machine learning, pragmatic trials, and adaptive designs.","Research Support, Non-U.S. Gov't, Review, Anesthesia, Cardiac Procedures / methods*, Anesthesia, Cardiac Procedures / trends, Humans, Research Design*",Review
Using Machine Learning to Evaluate Attending Feedback on Resident Performance,https://pubmed.ncbi.nlm.nih.gov/33323789/,10.1213/ANE.0000000000005265," Boston, Massachusetts.",2021,Anesth Analg,"Background:
        
      
      High-quality and high-utility feedback allows for the development of improvement plans for trainees. The current manual assessment of the quality of this feedback is time consuming and subjective. We propose the use of machine learning to rapidly distinguish the quality of attending feedback on resident performance.","Multicenter Study, Anesthesiologists / education*, Anesthesiology / education*, Clinical Competence*, Data Mining*, Databases, Factual, Education, Medical, Graduate*, Employee Performance Appraisal, Formative Feedback*, Humans, Internship and Residency*, Machine Learning*, Medical Staff, Hospital*, Task Performance and Analysis, United States",Multicenter Study
The Future Directions of Research in Cardiac Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/31677692/,10.1016/j.anclin.2019.08.008,N/A,2019,Anesthesiol Clin,"This article provides an overview of knowledge gaps that need to be addressed in cardiac anesthesia, including mitigating the inflammatory effects of cardiopulmonary bypass, defining myocardial infarction after cardiac surgery, improving perioperative neurologic outcomes, and the optimal management of patients undergoing valve replacement. In addition, emerging approaches to research conduct are discussed, including the use of new analytical techniques like machine learning, pragmatic trials, and adaptive designs.","Review, Anesthesiology / trends*, Cardiac Surgical Procedures / methods*, Humans, Research / trends*",Review
Machine-learning model predicting postoperative delirium in older patients using intraoperative frontal electroencephalographic signatures,https://pubmed.ncbi.nlm.nih.gov/36313029/,10.3389/fnagi.2022.911088," Berlin, Germany.",2022,Front Aging Neurosci,"Objective:
        
      
      In older patients receiving general anesthesia, postoperative delirium (POD) is the most frequent form of cerebral dysfunction. Early identification of patients at higher risk to develop POD could provide the opportunity to adapt intraoperative and postoperative therapy. We, therefore, propose a machine learning approach to predict the risk of POD in elderly patients, using routine intraoperative electroencephalography (EEG) and clinical data that are readily available in the operating room.",,N/A
What we can learn from Big Data about factors influencing perioperative outcome,https://pubmed.ncbi.nlm.nih.gov/30169341/,10.1097/ACO.0000000000000659," Rotterdam, the Netherlands.",2018,Curr Opin Anaesthesiol,"Purpose of review:
        
      
      This narrative review will discuss what value Big Data has to offer anesthesiology and aims to highlight recently published articles of large databases exploring factors influencing perioperative outcome. Additionally, the future perspectives of Big Data and its major pitfalls will be discussed.","Review, Anesthesiology, Big Data*, Humans, Perioperative Care / statistics & numerical data, Perioperative Period / statistics & numerical data*, Perioperative Period / trends, Registries, Treatment Outcome*",Review
Supervised Machine-learning Predictive Analytics for Prediction of Postinduction Hypotension,https://pubmed.ncbi.nlm.nih.gov/30074930/,10.1097/ALN.0000000000002374," New York, New York.",2018,Anesthesiology,"What we already know about this topic:
        
      
      WHAT THIS ARTICLE TELLS US THAT IS NEW: BACKGROUND:: Hypotension is a risk factor for adverse perioperative outcomes. Machine-learning methods allow large amounts of data for development of robust predictive analytics. The authors hypothesized that machine-learning methods can provide prediction for the risk of postinduction hypotension.","Research Support, Non-U.S. Gov't, Adult, Aged, Anesthesia, General / adverse effects*, Female, Humans, Hypotension / diagnosis*, Hypotension / epidemiology, Hypotension / physiopathology, Male, Middle Aged, Postoperative Complications / diagnosis*, Postoperative Complications / epidemiology, Postoperative Complications / physiopathology, Predictive Value of Tests, Supervised Machine Learning*",N/A
Understanding basic principles of Artificial Intelligence: a practical guide for intensivists,https://pubmed.ncbi.nlm.nih.gov/36300214/,10.23750/abm.v93i5.13626,N/A,2022,Acta Biomed,"Background and aim:
        
      
      Artificial intelligence was born to allow computers to learn and control their environment, trying to imitate the human brain structure by simulating its biological evolution. Artificial intelligence makes it possible to analyze large amounts of data (big data) in real-time, providing forecasts that can support the clinician's decisions. This scenario can include diagnosis, prognosis, and treatment in anesthesiology, intensive care medicine, and pain medicine. Machine Learning is a subcategory of AI. It is based on algorithms trained for decisions making that automatically learn and recognize patterns from data. This article aims to offer an overview of the potential application of AI in anesthesiology and analyzes the operating principles of machine learning Every Machine Learning pathway starts from task definition and ends in model application.","Algorithms, Artificial Intelligence*, Humans, Machine Learning*, Prognosis",N/A
"Predictors of 30-Day Mortality Among Dutch Patients Undergoing Colorectal Cancer Surgery, 2011-2016",https://pubmed.ncbi.nlm.nih.gov/33900400/,10.1001/jamanetworkopen.2021.7737," Amsterdam, the Netherlands.",2021,JAMA Netw Open,"Importance:
        
      
      Quality improvement programs for colorectal cancer surgery have been introduced with benchmarking based on quality indicators, such as mortality. Detailed (pre)operative characteristics may offer relevant information for proper case-mix correction.","Research Support, Non-U.S. Gov't, Aged, Aged, 80 and over, Area Under Curve, Asthma / epidemiology, Colectomy, Colorectal Neoplasms / epidemiology, Colorectal Neoplasms / surgery*, Comorbidity, Female, Humans, Hypertension / epidemiology, Intensive Care Units / statistics & numerical data, Laparoscopy, Length of Stay / statistics & numerical data, Logistic Models, Machine Learning*, Male, Middle Aged, Mortality*, Multivariate Analysis, Myocardial Infarction / epidemiology, Netherlands, Patient Readmission, Pulmonary Disease, Chronic Obstructive / epidemiology, Risk Factors, Support Vector Machine",N/A
Comparative analysis of popular predictors for difficult laryngoscopy using hybrid intelligent detection methods,https://pubmed.ncbi.nlm.nih.gov/36451753/,10.1016/j.heliyon.2022.e11761," Limerick, Ireland.",2022,Heliyon,"Difficult laryngoscopy is associated with airway injury, and asphyxia. There are no guidelines or gold standards for detecting difficult laryngoscopy. There are many opinions on which predictors to use to detect difficult laryngoscopy exposure, and no comprehensively unified comparative analysis has been conducted. The efficacy and accuracy of deep learning (DL)-based models and machine learning (ML)-based models for predicting difficult laryngoscopy need to be evaluated and compared, under the circumstance that the flourishing of deep neural networks (DNN) has increasingly left ML less concentrated and uncreative. For the first time, the performance of difficult laryngoscopy prediction for a dataset of 671 patients, under single index and integrated multiple indicators was consistently verified under seven ML-based models and four DL-based approaches. The top dog was a simple traditional machine learning model, Naïve Bayes, outperforming DL-based models, the best test accuracy is 86.6%, the F1 score is 0.908, and the average precision score is 0.837. Three radiological variables of difficult laryngoscopy were all valuable separately and combinedly and the ranking was presented. There is no significant difference in performance among the three radiological indicators individually (83.06% vs. 83.20% vs. 83.33%) and comprehensively (83.74%), suggesting that anesthesiologists can flexibly choose appropriate measurement indicators according to the actual situation to predict difficult laryngoscopy. Adaptive spatial interaction was imposed to the model to boost the performance of difficult laryngoscopy prediction with preoperative cervical spine X-ray.",,N/A
Machine learning of EEG spectra classifies unconsciousness during GABAergic anesthesia,https://pubmed.ncbi.nlm.nih.gov/33956800/,10.1371/journal.pone.0246165," MA, United States of America.",2021,PLoS One,"In current anesthesiology practice, anesthesiologists infer the state of unconsciousness without directly monitoring the brain. Drug- and patient-specific electroencephalographic (EEG) signatures of anesthesia-induced unconsciousness have been identified previously. We applied machine learning approaches to construct classification models for real-time tracking of unconscious state during anesthesia-induced unconsciousness. We used cross-validation to select and train the best performing models using 33,159 2s segments of EEG data recorded from 7 healthy volunteers who received increasing infusions of propofol while responding to stimuli to directly assess unconsciousness. Cross-validated models of unconsciousness performed very well when tested on 13,929 2s EEG segments from 3 left-out volunteers collected under the same conditions (median volunteer AUCs 0.99-0.99). Models showed strong generalization when tested on a cohort of 27 surgical patients receiving solely propofol collected in a separate clinical dataset under different circumstances and using different hardware (median patient AUCs 0.95-0.98), with model predictions corresponding with actions taken by the anesthesiologist during the cases. Performance was also strong for 17 patients receiving sevoflurane (alone or in addition to propofol) (median AUCs 0.88-0.92). These results indicate that EEG spectral features can predict unconsciousness, even when tested on a different anesthetic that acts with a similar neural mechanism. With high performance predictions of unconsciousness, we can accurately monitor anesthetic state, and this approach may be used to engineer infusion pumps to intelligibly respond to patients' neural activity.","Research Support, N.I.H., Extramural, Anesthetics, Intravenous / pharmacology, Brain / drug effects, Brain / physiopathology, Electroencephalography* / drug effects, Humans, Machine Learning*, Male, Sevoflurane / adverse effects, Signal Processing, Computer-Assisted*, Unconsciousness / chemically induced, Unconsciousness / physiopathology*, Anesthetics, Intravenous, Sevoflurane",N/A
Bibliometric and visual analysis of intraoperative hypotension from 2004 to 2022,https://pubmed.ncbi.nlm.nih.gov/38045917/,10.3389/fcvm.2023.1270694," Shenzhen, China.",2023,Front Cardiovasc Med,"Background:
        
      
      Intraoperative hypotension (IOH) is a common complication occurring in surgical practice. This study aims to comprehensively review the collaboration and impact of countries, institutions, authors, journals, keywords, and critical papers on intraoperative hypotension from the perspective of bibliometric, and to evaluate the evolution of knowledge structure clustering and identify research hotspots and emerging topics.",,N/A
Patent and Bibliometric Analysis of the Scientific Landscape of the Use of Pulse Oximeters and Their Prospects in the Field of Digital Medicine,https://pubmed.ncbi.nlm.nih.gov/37998496/,10.3390/healthcare11223003," Kharkiv, Ukraine.",2023,Healthcare (Basel),"This study conducted a comprehensive patent and bibliometric analysis to elucidate the evolving scientific landscape surrounding the development and application of pulse oximeters, including in the field of digital medicine. Utilizing data from the Lens database for the period of 2000-2023, we identified the United States, China, the Republic of Korea, Japan, Canada, Australia, Taiwan, and the United Kingdom as the predominant countries in patent issuance for pulse oximeter technology. Our bibliometric analysis revealed a consistent temporal trend in both the volume of publications and citations, underscoring the growing importance of pulse oximeters in digitally-enabled medical practice. Using the VOSviewer software(version 1.6.18), we discerned six primary research clusters: (1) measurement accuracy; (2) integration with the Internet of Things; (3) applicability across diverse pathologies; (4) telemedicine and mobile applications; (5) artificial intelligence and deep learning; and (6) utilization in anesthesiology, resuscitation, and intensive care departments. The findings of this study indicate the prospects for leveraging digital technologies in the use of pulse oximetry in various fields of medicine, with implications for advancing the understanding, diagnosis, prevention, and treatment of cardio-respiratory pathologies. The conducted patent and bibliometric analysis allowed the identification of technical solutions to reduce the risks associated with pulse oximetry: improving precision and validity, technically improved clinical diagnostic use, and the use of machine learning.",,N/A
Classification of Current Procedural Terminology Codes from Electronic Health Record Data Using Machine Learning,https://pubmed.ncbi.nlm.nih.gov/32028374/,10.1097/ALN.0000000000003150," Goettingen, Germany (L.S.).",2020,Anesthesiology,"Background:
        
      
      Accurate anesthesiology procedure code data are essential to quality improvement, research, and reimbursement tasks within anesthesiology practices. Advanced data science techniques, including machine learning and natural language processing, offer opportunities to develop classification tools for Current Procedural Terminology codes across anesthesia procedures.","Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Adolescent, Adult, Child, Child, Preschool, Current Procedural Terminology*, Databases, Factual / classification*, Electronic Health Records / classification*, Female, Humans, Machine Learning / classification*, Male, Middle Aged, Neural Networks, Computer*, Young Adult",N/A
New machine learning scoring system for predicting postoperative mortality in gastroduodenal ulcer perforation: A study using a Japanese nationwide inpatient database,https://pubmed.ncbi.nlm.nih.gov/34538648/,10.1016/j.surg.2021.08.031," University of Tokyo, Japan. Electronic address: takaakonishi-ncd@umin.ac.jp.",2022,Surgery,"Background:
        
      
      Conventional prediction models for estimating risk of postoperative mortality in gastroduodenal ulcer perforation have suboptimal prediction ability. We aimed to develop and validate new machine learning models and an integer-based score for predicting the postoperative mortality.","Research Support, Non-U.S. Gov't, Humans, Inpatients*, Japan / epidemiology, Machine Learning, Peptic Ulcer Perforation*, Retrospective Studies, Risk Assessment",N/A
Hypotension prediction index guided versus conventional goal directed therapy to reduce intraoperative hypotension during thoracic surgery: a randomized trial,https://pubmed.ncbi.nlm.nih.gov/36997847/,10.1186/s12871-023-02069-1," Zagreb, Croatia.",2023,BMC Anesthesiol,"Purpose:
        
      
      Intraoperative hypotension is linked to increased incidence of perioperative adverse events such as myocardial and cerebrovascular infarction and acute kidney injury. Hypotension prediction index (HPI) is a novel machine learning guided algorithm which can predict hypotensive events using high fidelity analysis of pulse-wave contour. Goal of this trial is to determine whether use of HPI can reduce the number and duration of hypotensive events in patients undergoing major thoracic procedures.","Randomized Controlled Trial, Goals, Hemodynamics, Humans, Hypotension* / epidemiology, Hypotension* / prevention & control, Thoracic Surgery*, Thoracic Surgical Procedures* / adverse effects",Randomized Controlled Trial
